ProductId,Area Code,Date,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Product Name,Product Line,Product Type,Type,Market Size,Market,State,,,
1,719,1/1/2012,90,130,100,220,89,777,130,24,94,219,36,Amaretto,Beans,Coffee,Regular,Major Market,Central,Colorado,,,
2,970,1/1/2012,80,110,80,190,83,623,107,27,68,190,39,Columbian,Beans,Coffee,Regular,Major Market,Central,Colorado,,,
3,970,1/1/2012,100,140,110,240,95,821,139,26,101,234,38,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,Central,Colorado,,,
13,303,1/1/2012,30,50,30,80,44,623,56,14,30,100,26,Green Tea,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
5,303,1/1/2012,60,90,70,150,54,456,80,15,54,134,26,Caffe Mocha,Beans,Espresso,Regular,Major Market,Central,Colorado,,,
6,720,1/1/2012,80,130,80,210,72,558,108,23,53,180,55,Decaf Espresso,Beans,Espresso,Decaf,Major Market,Central,Colorado,,,
8,970,1/1/2012,140,160,110,300,170,"1,091",171,47,99,341,72,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
9,719,1/1/2012,50,80,20,130,63,435,87,57,0,150,87,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
10,970,1/1/2012,50,70,40,120,60,336,80,19,33,140,47,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
11,719,1/1/2012,40,70,20,110,58,338,72,22,17,130,55,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
12,303,1/1/2012,50,70,40,120,64,965,76,19,36,140,40,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
2,217,1/1/2012,150,210,130,360,144,862,201,47,111,345,90,Columbian,Beans,Coffee,Regular,Major Market,Central,Illinois,,,
3,309,1/1/2012,100,140,100,240,95,608,139,30,87,234,52,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,Central,Illinois,,,
5,309,1/1/2012,270,370,260,640,234,"1,310",312,77,203,546,109,Caffe Mocha,Beans,Espresso,Regular,Major Market,Central,Illinois,,,
6,630,1/1/2012,260,270,180,530,228,"1,459",228,63,140,456,88,Decaf Espresso,Beans,Espresso,Decaf,Major Market,Central,Illinois,,,
